timestamp,elapsed_s,segment,roots_V,grounded_roots_V
2026-08-16 18:14:37.194,0.001,lower,0.05437499999999984,0.0006249999999996536
2026-08-16 18:14:37.204,0.011,lower,-0.06249999999999978,-0.04437499999999983
2026-08-16 18:14:37.214,0.021,lower,0.07624999999999993,0.003750000000000142
2026-08-16 18:14:37.224,0.031,lower,-0.09937499999999932,-0.026874999999999538
2026-08-16 18:14:37.234,0.041,lower,0.02687500000000065,-0.010000000000000009
2026-08-16 18:14:37.244,0.051,lower,0.03687500000000066,0.001875000000000071
2026-08-16 18:14:37.254,0.061,lower,-0.08750000000000036,-0.05249999999999977
2026-08-16 18:14:37.264,0.071,lower,0.07500000000000062,0.007500000000000284
2026-08-16 18:14:37.274,0.081,lower,-0.11624999999999996,-0.030000000000000027
2026-08-16 18:14:37.284,0.091,lower,0.038124999999999964,-0.004999999999999449
2026-08-16 18:14:37.294,0.101,lower,0.05750000000000033,0.003750000000000142
2026-08-16 18:14:37.304,0.111,lower,-0.10812500000000003,-0.04750000000000032
2026-08-16 18:14:37.314,0.121,lower,0.08000000000000007,0.008124999999999938
2026-08-16 18:14:37.324,0.131,lower,-0.10687499999999961,-0.03624999999999989
2026-08-16 18:14:37.334,0.141,lower,0.024374999999999813,-0.019375000000000364
2026-08-16 18:14:37.344,0.151,lower,0.027500000000000302,0.0031250000000004885
2026-08-16 18:14:37.354,0.161,lower,-0.078125,-0.04375000000000018
2026-08-16 18:14:37.364,0.171,lower,0.0737500000000002,0.0050000000000005596
2026-08-16 18:14:37.374,0.181,lower,-0.09000000000000008,-0.03437499999999982
2026-08-16 18:14:37.384,0.191,lower,0.03937500000000038,-0.014999999999999458
2026-08-16 18:14:37.394,0.201,lower,0.05125000000000046,-0.0024999999999997247
2026-08-16 18:14:37.404,0.211,lower,-0.10249999999999981,-0.04437499999999983
2026-08-16 18:14:37.414,0.221,lower,0.07562500000000028,0.003750000000000142
2026-08-16 18:14:37.424,0.231,lower,-0.11062499999999975,-0.03624999999999989
2026-08-16 18:14:37.434,0.241,lower,0.035000000000000586,-0.009375000000000355
2026-08-16 18:14:37.444,0.251,lower,0.018124999999999947,0.0012500000000004174
2026-08-16 18:14:37.454,0.261,lower,-0.07624999999999993,-0.04187500000000011
2026-08-16 18:14:37.464,0.271,lower,0.07500000000000062,0.008124999999999938
2026-08-16 18:14:37.474,0.281,lower,-0.09187500000000015,-0.026249999999999885
2026-08-16 18:14:37.484,0.291,lower,0.04125000000000045,-0.012499999999999734
2026-08-16 18:14:37.494,0.301,lower,0.0462499999999999,0.003750000000000142
2026-08-16 18:14:37.504,0.311,lower,-0.09499999999999953,-0.04062499999999969
2026-08-16 18:14:37.514,0.321,lower,0.07500000000000062,0.007500000000000284
2026-08-16 18:14:37.524,0.331,lower,-0.1112499999999994,-0.033124999999999405
2026-08-16 18:14:37.534,0.341,lower,0.038124999999999964,-0.005625000000000213
2026-08-16 18:14:37.544,0.351,lower,0.0637500000000002,0.005625000000000213
2026-08-16 18:14:37.554,0.361,lower,-0.06874999999999964,-0.0462499999999999
2026-08-16 18:14:37.564,0.371,lower,0.07562500000000028,0.007500000000000284
2026-08-16 18:14:37.574,0.381,lower,-0.0968749999999996,-0.03437499999999982
2026-08-16 18:14:37.584,0.391,lower,0.04437499999999983,-0.014999999999999458
2026-08-16 18:14:37.594,0.401,lower,0.04062499999999969,0.001875000000000071
2026-08-16 18:14:37.604,0.411,lower,-0.09000000000000008,-0.04750000000000032
2026-08-16 18:14:37.614,0.421,lower,0.0737500000000002,0.009375000000000355
2026-08-16 18:14:37.624,0.431,lower,-0.11937499999999934,-0.03375000000000017
2026-08-16 18:14:37.634,0.441,lower,0.03624999999999989,-0.010624999999999662
